time,S_R,I_R,R_R,S_excel,I_excel,R_excel
108,0.47479,0.13316,0.39205,0.57764,0.13686,0.28551
109,0.45806,0.13101,0.41093,0.55618,0.13876,0.30506
110,0.44221,0.12833,0.42946,0.53523,0.13989,0.32488
111,0.42725,0.12518,0.44757,0.51491,0.14023,0.34486
112,0.41318,0.12162,0.46520,0.49531,0.13979,0.36490
113,0.39997,0.11773,0.48230,0.47652,0.13862,0.38487
114,0.38761,0.11357,0.49883,0.45859,0.13674,0.40467
115,0.37606,0.10920,0.51474,0.44157,0.13423,0.42420
116,0.36530,0.10468,0.53002,0.42548,0.13114,0.44338
117,0.35529,0.10006,0.54464,0.41034,0.12755,0.46211
118,0.34599,0.09540,0.55861,0.39613,0.12354,0.48033
119,0.33736,0.09074,0.57190,0.38285,0.11917,0.49798
120,0.32936,0.08611,0.58453,0.37046,0.11453,0.51501
121,0.32195,0.08154,0.59651,0.35895,0.10968,0.53137
122,0.31510,0.07707,0.60784,0.34826,0.10470,0.54704
123,0.30876,0.07271,0.61853,0.33836,0.09964,0.56199
124,0.30290,0.06849,0.62862,0.32921,0.09456,0.57623
125,0.29748,0.06441,0.63811,0.32076,0.08950,0.58974
126,0.29248,0.06049,0.64703,0.31297,0.08451,0.60252
127,0.28787,0.05673,0.65540,0.30579,0.07961,0.61460
128,0.28361,0.05315,0.66324,0.29918,0.07485,0.62597
129,0.27968,0.04973,0.67059,0.29311,0.07023,0.63666
130,0.27605,0.04649,0.67746,0.28752,0.06579,0.64669
131,0.27270,0.04341,0.68388,0.28238,0.06152,0.65609
132,0.26962,0.04051,0.68987,0.27767,0.05745,0.66488
133,0.26677,0.03777,0.69546,0.27334,0.05357,0.67309
134,0.26414,0.03519,0.70067,0.26936,0.04989,0.68074
135,0.26172,0.03276,0.70552,0.26572,0.04641,0.68787
136,0.25948,0.03048,0.71004,0.26237,0.04313,0.69450
137,0.25742,0.02834,0.71424,0.25930,0.04004,0.70066
138,0.25552,0.02634,0.71814,0.25648,0.03714,0.70638
139,0.25376,0.02447,0.72177,0.25389,0.03442,0.71169
140,0.25214,0.02272,0.72514,0.25152,0.03187,0.71660
141,0.25065,0.02108,0.72827,0.24935,0.02950,0.72116
142,0.24927,0.01956,0.73117,0.24735,0.02728,0.72537
143,0.24800,0.01814,0.73386,0.24552,0.02521,0.72927
144,0.24683,0.01682,0.73636,0.24384,0.02329,0.73287
145,0.24574,0.01559,0.73867,0.24230,0.02151,0.73620
146,0.24475,0.01444,0.74081,0.24088,0.01985,0.73927
147,0.24382,0.01338,0.74280,0.23958,0.01831,0.74211
148,0.24297,0.01239,0.74464,0.23839,0.01689,0.74472
149,0.24219,0.01147,0.74634,0.23730,0.01557,0.74713
150,0.24146,0.01062,0.74792,0.23630,0.01434,0.74936
151,0.24079,0.00983,0.74938,0.23538,0.01322,0.75141
152,0.24018,0.00909,0.75073,0.23453,0.01217,0.75329
153,0.23961,0.00841,0.75198,0.23376,0.01121,0.75503
154,0.23908,0.00778,0.75314,0.23305,0.01032,0.75663
155,0.23860,0.00720,0.75421,0.23240,0.00950,0.75811
156,0.23815,0.00666,0.75519,0.23180,0.00874,0.75947
157,0.23773,0.00616,0.75611,0.23125,0.00804,0.76071
158,0.23735,0.00569,0.75696,0.23074,0.00740,0.76186
159,0.23700,0.00526,0.75774,0.23028,0.00680,0.76292
160,0.23667,0.00486,0.75846,0.22985,0.00626,0.76389
161,0.23637,0.00450,0.75913,0.22946,0.00575,0.76478
162,0.23610,0.00416,0.75975,0.22910,0.00529,0.76561
163,0.23584,0.00384,0.76032,0.22878,0.00486,0.76636
164,0.23561,0.00355,0.76085,0.22847,0.00447,0.76706
165,0.23539,0.00328,0.76133,0.22820,0.00411,0.76770
166,0.23519,0.00303,0.76178,0.22794,0.00378,0.76828
167,0.23500,0.00280,0.76220,0.22771,0.00347,0.76882
168,0.23483,0.00259,0.76258,0.22749,0.00319,0.76932
169,0.23467,0.00239,0.76294,0.22730,0.00293,0.76977
170,0.23452,0.00221,0.76327,0.22712,0.00269,0.77019
171,0.23439,0.00204,0.76357,0.22695,0.00247,0.77058
172,0.23426,0.00189,0.76385,0.22680,0.00227,0.77093
173,0.23415,0.00174,0.76411,0.22666,0.00209,0.77125
174,0.23404,0.00161,0.76435,0.22653,0.00192,0.77155
175,0.23394,0.00149,0.76457,0.22641,0.00176,0.77183
176,0.23385,0.00137,0.76478,0.22630,0.00162,0.77208
177,0.23377,0.00127,0.76496,0.22620,0.00149,0.77231
178,0.23369,0.00117,0.76514,0.22611,0.00137,0.77252
179,0.23362,0.00108,0.76530,0.22603,0.00125,0.77272
180,0.23355,0.00100,0.76545,0.22595,0.00115,0.77290
181,0.23349,0.00092,0.76558,0.22588,0.00106,0.77306
182,0.23344,0.00085,0.76571,0.22582,0.00097,0.77321
183,0.23338,0.00079,0.76583,0.22576,0.00089,0.77335
184,0.23334,0.00073,0.76594,0.22570,0.00082,0.77348
185,0.23329,0.00067,0.76604,0.22565,0.00075,0.77360
186,0.23325,0.00062,0.76613,0.22561,0.00069,0.77370
