time,S_R,I_R,R_R,S_excel,I_excel,R_excel
0,0.99999,0.00000,0.00001,0.99999,0.00000,0.00001
1,0.99999,0.00000,0.00001,0.99999,0.00000,0.00001
2,0.99999,0.00000,0.00001,0.99999,0.00000,0.00001
3,0.99999,0.00000,0.00001,0.99999,0.00000,0.00001
4,0.99999,0.00000,0.00001,0.99999,0.00000,0.00001
5,0.99999,0.00000,0.00001,0.99999,0.00000,0.00001
6,0.99999,0.00000,0.00001,0.99999,0.00000,0.00001
7,0.99999,0.00000,0.00001,0.99999,0.00000,0.00001
8,0.99999,0.00000,0.00001,0.99999,0.00000,0.00001
9,0.99999,0.00000,0.00001,0.99999,0.00000,0.00001
10,0.99998,0.00000,0.00001,0.99999,0.00000,0.00001
11,0.99998,0.00000,0.00001,0.99998,0.00000,0.00001
12,0.99998,0.00000,0.00001,0.99998,0.00000,0.00001
13,0.99998,0.00001,0.00001,0.99998,0.00000,0.00001
14,0.99998,0.00001,0.00001,0.99998,0.00001,0.00001
15,0.99998,0.00001,0.00002,0.99998,0.00001,0.00001
16,0.99998,0.00001,0.00002,0.99998,0.00001,0.00002
17,0.99997,0.00001,0.00002,0.99998,0.00001,0.00002
18,0.99997,0.00001,0.00002,0.99997,0.00001,0.00002
19,0.99997,0.00001,0.00002,0.99997,0.00001,0.00002
20,0.99996,0.00001,0.00002,0.99997,0.00001,0.00002
21,0.99996,0.00001,0.00002,0.99997,0.00001,0.00002
22,0.99996,0.00002,0.00003,0.99996,0.00001,0.00002
23,0.99995,0.00002,0.00003,0.99996,0.00002,0.00003
24,0.99995,0.00002,0.00003,0.99995,0.00002,0.00003
25,0.99994,0.00002,0.00004,0.99995,0.00002,0.00003
26,0.99993,0.00003,0.00004,0.99994,0.00002,0.00003
27,0.99992,0.00003,0.00004,0.99994,0.00003,0.00004
28,0.99991,0.00004,0.00005,0.99993,0.00003,0.00004
29,0.99990,0.00004,0.00005,0.99992,0.00003,0.00004
30,0.99989,0.00005,0.00006,0.99991,0.00004,0.00005
31,0.99988,0.00005,0.00007,0.99990,0.00004,0.00006
32,0.99986,0.00006,0.00008,0.99989,0.00005,0.00006
33,0.99984,0.00007,0.00009,0.99988,0.00005,0.00007
34,0.99982,0.00008,0.00010,0.99986,0.00006,0.00008
35,0.99980,0.00009,0.00011,0.99985,0.00007,0.00008
36,0.99977,0.00010,0.00012,0.99983,0.00008,0.00009
37,0.99975,0.00012,0.00014,0.99981,0.00009,0.00011
38,0.99971,0.00013,0.00016,0.99978,0.00010,0.00012
39,0.99967,0.00015,0.00018,0.99976,0.00011,0.00013
40,0.99963,0.00017,0.00020,0.99973,0.00013,0.00015
41,0.99958,0.00020,0.00023,0.99969,0.00014,0.00017
42,0.99952,0.00022,0.00026,0.99965,0.00016,0.00019
43,0.99946,0.00025,0.00029,0.99961,0.00018,0.00021
44,0.99939,0.00029,0.00033,0.99956,0.00020,0.00024
45,0.99930,0.00033,0.00037,0.99950,0.00023,0.00026
46,0.99921,0.00037,0.00042,0.99944,0.00026,0.00030
47,0.99910,0.00042,0.00048,0.99937,0.00029,0.00033
48,0.99898,0.00048,0.00054,0.99929,0.00033,0.00038
49,0.99884,0.00055,0.00062,0.99920,0.00037,0.00042
50,0.99868,0.00062,0.00070,0.99910,0.00042,0.00048
51,0.99850,0.00071,0.00079,0.99899,0.00048,0.00054
52,0.99830,0.00080,0.00090,0.99886,0.00054,0.00061
53,0.99807,0.00091,0.00102,0.99871,0.00061,0.00068
54,0.99780,0.00104,0.00116,0.99855,0.00068,0.00077
55,0.99750,0.00118,0.00132,0.99836,0.00077,0.00087
56,0.99716,0.00134,0.00150,0.99815,0.00087,0.00098
57,0.99678,0.00152,0.00170,0.99792,0.00098,0.00110
58,0.99634,0.00173,0.00193,0.99765,0.00111,0.00124
59,0.99584,0.00196,0.00220,0.99735,0.00125,0.00140
60,0.99527,0.00223,0.00250,0.99701,0.00141,0.00158
61,0.99463,0.00253,0.00284,0.99663,0.00159,0.00178
62,0.99390,0.00287,0.00322,0.99620,0.00179,0.00201
63,0.99308,0.00326,0.00366,0.99571,0.00202,0.00226
64,0.99214,0.00370,0.00416,0.99517,0.00228,0.00255
65,0.99108,0.00420,0.00472,0.99455,0.00257,0.00288
66,0.98987,0.00477,0.00536,0.99386,0.00290,0.00325
67,0.98851,0.00540,0.00609,0.99308,0.00326,0.00366
68,0.98697,0.00613,0.00691,0.99220,0.00368,0.00413
69,0.98522,0.00694,0.00784,0.99121,0.00414,0.00465
70,0.98325,0.00786,0.00890,0.99009,0.00467,0.00524
71,0.98102,0.00889,0.01009,0.98884,0.00525,0.00591
72,0.97850,0.01006,0.01144,0.98743,0.00591,0.00666
73,0.97566,0.01137,0.01297,0.98584,0.00665,0.00750
74,0.97247,0.01284,0.01470,0.98406,0.00748,0.00845
75,0.96887,0.01448,0.01665,0.98207,0.00841,0.00952
76,0.96484,0.01632,0.01884,0.97982,0.00945,0.01073
77,0.96031,0.01837,0.02132,0.97731,0.01061,0.01208
78,0.95524,0.02065,0.02410,0.97449,0.01191,0.01359
79,0.94958,0.02319,0.02723,0.97134,0.01336,0.01529
80,0.94327,0.02599,0.03074,0.96782,0.01498,0.01720
81,0.93625,0.02908,0.03467,0.96388,0.01677,0.01934
82,0.92847,0.03246,0.03906,0.95950,0.01876,0.02174
83,0.91987,0.03617,0.04396,0.95461,0.02097,0.02442
84,0.91039,0.04019,0.04941,0.94918,0.02341,0.02742
85,0.89999,0.04455,0.05546,0.94314,0.02610,0.03076
86,0.88862,0.04923,0.06216,0.93646,0.02905,0.03449
87,0.87623,0.05422,0.06954,0.92908,0.03228,0.03864
88,0.86282,0.05952,0.07766,0.92094,0.03581,0.04325
89,0.84835,0.06509,0.08656,0.91199,0.03965,0.04837
90,0.83285,0.07088,0.09627,0.90217,0.04380,0.05403
91,0.81632,0.07686,0.10682,0.89145,0.04827,0.06029
92,0.79880,0.08296,0.11824,0.87977,0.05305,0.06718
93,0.78036,0.08911,0.13053,0.86710,0.05814,0.07476
94,0.76108,0.09522,0.14369,0.85342,0.06352,0.08306
95,0.74106,0.10121,0.15773,0.83871,0.06916,0.09214
96,0.72041,0.10699,0.17260,0.82296,0.07502,0.10202
97,0.69926,0.11246,0.18828,0.80620,0.08106,0.11274
98,0.67777,0.11752,0.20471,0.78847,0.08722,0.12432
99,0.65608,0.12209,0.22183,0.76980,0.09342,0.13678
100,0.63434,0.12609,0.23957,0.75028,0.09960,0.15012
101,0.61270,0.12946,0.25783,0.73000,0.10565,0.16435
102,0.59132,0.13215,0.27653,0.70906,0.11149,0.17944
103,0.57033,0.13412,0.29555,0.68760,0.11702,0.19537
104,0.54984,0.13535,0.31481,0.66576,0.12215,0.21209
105,0.52996,0.13585,0.33419,0.64369,0.12677,0.22954
106,0.51078,0.13563,0.35359,0.62154,0.13081,0.24765
107,0.49237,0.13472,0.37291,0.59947,0.13419,0.26634
